01;02;D
01;03;D'
01;11;F
01;16;F'
02;01;D'
02;04;D
02;09;R
02;14;R'
03;01;D
03;04;D'
03;10;L'
03;13;L
04;02;D'
04;03;D
04;12;B'
04;15;B
05;06;D'
05;08;D
05;09;F'
05;10;F
06;05;D
06;07;D'
06;11;L'
06;12;L
07;06;D
07;08;D'
07;13;B'
07;14;B
08;07;D
08;05;D'
08;15;R'
08;16;R
09;02;R'
09;05;F
09;17;F'
09;22;R
10;03;L
10;05;F'
10;17;F
10;23;L'
11;01;F'
11;06;L
11;18;L'
11;21;F
12;04;B
12;06;L'
12;18;L
12;24;B'
13;03;L'
13;07;B
13;19;B'
13;23;L
14;02;R
14;07;B'
14;19;B
14;22;R'
15;04;B'
15;08;R
15;20;R'
15;24;B
16;01;F
16;08;R'
16;20;R
16;21;F'
17;09;F
17;10;F'
17;18;U
17;20;U'
18;11;L
18;12;L'
18;17;U'
18;19;U
19;13;B
19;14;B'
19;18;U'
19;20;U
20;15;R
20;16;R'
20;17;U
20;19;U'
21;11;F'
21;16;F
21;22;U'
21;23;U
22;09;R'
22;14;R
22;21;U
22;24;U'
23;10;L
23;13;L'
23;21;U'
23;24;U
24;12;B
24;15;B'
24;22;U
24;23;U'
