01;02;D'
01;03;D
01;07;F
01;10;R'
01;13;R
01;20;F'
02;01;D
02;04;D'
02;09;L
02;12;F'
02;14;L'
02;15;F
03;01;D'
03;04;D
03;05;R
03;08;D'
03;18;R'
03;19;B
04;02;D
04;03;D'
04;06;L'
04;11;B
04;16;B'
04;17;L
05;03;R'
05;06;F
05;07;D'
05;11;D
05;13;F'
05;21;R
06;04;L
06;05;F'
06;08;D'
06;12;D
06;14;F
06;22;L'
07;01;F'
07;05;D
07;08;L
07;09;D'
07;15;L'
07;22;F
08;03;B
08;06;D
08;07;L'
08;10;D'
08;16;L
08;24;B'
09;02;L'
09;07;D
09;10;B
09;11;D'
09;17;B'
09;24;L
10;01;R
10;08;D
10;09;B'
10;12;D'
10;18;B
10;23;R'
11;04;B'
11;05;D'
11;09;D
11;12;R
11;19;R'
11;23;B
12;02;F
12;06;D'
12;10;D
12;11;R'
12;20;R
12;21;F'
13;01;R'
13;05;F
13;14;F'
13;15;U
13;19;U'
13;23;R
14;02;L
14;06;F'
14;13;F
14;16;U
14;20;U'
14;24;L'
15;02;F'
15;07;L
15;13;U'
15;16;L'
15;17;U
15;21;F
16;04;B
16;08;L'
16;14;U'
16;15;L
16;18;U
16;23;B'
17;04;L'
17;09;B
17;15;U'
17;18;B'
17;19;U
17;22;L
18;03;R
18;10;B'
18;16;U'
18;17;B
18;20;U
18;21;R'
19;03;B'
19;11;R
19;13;U
19;17;U'
19;20;R'
19;24;B
20;01;F
20;12;R'
20;14;U
20;18;U'
20;19;R
20;22;F'
21;05;R'
21;12;F
21;15;F'
21;18;R
21;22;U
21;23;U'
22;06;L
22;07;F'
22;17;L'
22;20;F
22;21;U'
22;24;U
23;10;R
23;11;B'
23;13;R'
23;16;B
23;21;U
23;24;U'
24;08;B
24;09;L'
24;14;L
24;19;B'
24;22;U'
24;23;U
