00000;0000;22222
00000;0001;22222
00000;0010;22222
00000;0011;22222
00000;0100;22222
00000;0101;22222
00000;0110;22222
00000;0111;22222
00000;1000;22222
00000;1001;22222
00000;1010;22222
00000;1011;22222
00000;1100;22222
00000;1101;22222
00000;1110;22222
00000;1111;22222
00001;0000;22222
00001;0001;01101
00001;0010;01010
00001;0011;22222
00001;0100;22222
00001;0101;22222
00001;0110;22222
00001;0111;00111
00001;1000;10100
00001;1001;00011
00001;1010;00010
00001;1011;22222
00001;1100;22222
00001;1101;22222
00001;1110;22222
00001;1111;22222
00010;0000;22222
00010;0001;22222
00010;0010;22222
00010;0011;22222
00010;0100;22222
00010;0101;01001
00010;0110;01110
00010;0111;01111
00010;1000;01100
00010;1001;00001
00010;1010;00100
00010;1011;22222
00010;1100;22222
00010;1101;22222
00010;1110;22222
00010;1111;22222
00011;0000;22222
00011;0001;00101
00011;0010;10010
00011;0011;22222
00011;0100;22222
00011;0101;22222
00011;0110;22222
00011;0111;22222
00011;1000;22222
00011;1001;00100
00011;1010;00001
00011;1011;10011
00011;1100;22222
00011;1101;22222
00011;1110;22222
00011;1111;22222
00100;0000;22222
00100;0001;22222
00100;0010;22222
00100;0011;22222
00100;0100;22222
00100;0101;10001
00100;0110;00110
00100;0111;22222
00100;1000;22222
00100;1001;00010
00100;1010;00011
00100;1011;01011
00100;1100;10000
00100;1101;22222
00100;1110;22222
00100;1111;22222
00101;0000;22222
00101;0001;10101
00101;0010;00011
00101;0011;22222
00101;0100;22222
00101;0101;22222
00101;0110;22222
00101;0111;00110
00101;1000;01101
00101;1001;01011
00101;1010;00111
00101;1011;22222
00101;1100;22222
00101;1101;22222
00101;1110;22222
00101;1111;22222
00110;0000;22222
00110;0001;22222
00110;0010;22222
00110;0011;22222
00110;0100;22222
00110;0101;00100
00110;0110;10110
00110;0111;01110
00110;1000;00101
00110;1001;01100
00110;1010;01000
00110;1011;22222
00110;1100;22222
00110;1101;22222
00110;1110;22222
00110;1111;22222
00111;0000;22222
00111;0001;22222
00111;0010;22222
00111;0011;22222
00111;0100;22222
00111;0101;01000
00111;0110;01111
00111;0111;10110
00111;1000;00001
00111;1001;00101
00111;1010;01001
00111;1011;22222
00111;1100;22222
00111;1101;22222
00111;1110;22222
00111;1111;22222
01000;0000;22222
01000;0001;22222
01000;0010;22222
01000;0011;22222
01000;0100;22222
01000;0101;10000
01000;0110;00111
01000;0111;22222
01000;1000;22222
01000;1001;00110
01000;1010;01010
01000;1011;00011
01000;1100;11000
01000;1101;22222
01000;1110;22222
01000;1111;22222
01001;0000;22222
01001;0001;22222
01001;0010;22222
01001;0011;22222
01001;0100;22222
